"withReplication","logRPKMstd","locus_tag"
"codirectional",1.1868064358322,"U712_15050"
"codirectional",0.699881850515778,"U712_15165"
"codirectional",1.72745432625524,"U712_15285"
"codirectional",0.905349822472745,"U712_15315"
"codirectional",1.12273087125295,"U712_15455"
"codirectional",0.00113657860309361,"U712_15465"
"codirectional",0.477923632690394,"U712_15485"
"codirectional",-0.23389326941392,"U712_15525"
"codirectional",-0.00191901938861826,"U712_15530"
"codirectional",-0.42466306337519,"U712_16065"
"codirectional",-0.951753767268465,"U712_16220"
"codirectional",0.368167604069781,"U712_16545"
"codirectional",0.386702397695885,"U712_16580"
"codirectional",0.506358709144987,"U712_16665"
"codirectional",-0.835262649403296,"U712_16795"
"codirectional",-0.469504632277543,"U712_16910"
"codirectional",-0.029119718606718,"U712_16935"
"codirectional",0.671144421685896,"U712_17035"
"codirectional",-0.293096184251617,"U712_17040"
"codirectional",-1.1324776548598,"U712_17075"
"codirectional",-0.467409805446205,"U712_17090"
"codirectional",0.832409759938706,"U712_17400"
"codirectional",-0.0236145752493672,"U712_17435"
"codirectional",0.175935156416521,"U712_17445"
"codirectional",-0.511067972031585,"U712_17545"
"codirectional",0.487105781894088,"U712_17755"
"codirectional",-0.834647386946123,"U712_17840"
"codirectional",1.21449026811809,"U712_17920"
"codirectional",-0.375828599569763,"U712_18655"
"codirectional",-1.25974197961951,"U712_18865"
"codirectional",0.843075202872272,"U712_19125"
"codirectional",0.0107311635397801,"U712_19480"
"codirectional",-0.247426552303842,"U712_19490"
"codirectional",0.098305114578371,"U712_19875"
"codirectional",1.14496243933432,"U712_19930"
"codirectional",-0.551588329410441,"U712_20045"
"codirectional",-0.193556518197348,"U712_20080"
"codirectional",-0.155491237891715,"U712_20255"
"codirectional",0.834876161837183,"U712_20490"
"codirectional",2.77095386041835,"U712_20750"
"head-on",-1.90122352994028,"U712_01240"
"head-on",-0.316013330576099,"U712_01680"
"head-on",-1.06670619063647,"U712_01930"
"head-on",0.424459048366696,"U712_02345"
"head-on",-0.951439586927522,"U712_02870"
"head-on",0.123921919204113,"U712_03365"
"head-on",-0.178515325507821,"U712_03705"
